model,Simulated (Mild),Simulated (Severe),INDPRO 1984,CPI 1979
HMM,1.5090616505682326,2.2949126938656117,0.5836376712836666,1.1327624601347128
Threshold (TAR),1.6437269441707767,2.7754587066029086,0.6356621726393179,1.190362319430001
AR(2) Baseline,1.6560868928936705,2.607729236249196,0.7172773870807069,0.9860403869098596
Mixture of Experts,1.96216805382232,3.540610134977626,0.6575900884175402,1.6702482190104029
Model Average,2.467880708219952,4.917410841380844,0.7689435172030128,1.2907727583032251
"ARMA(2,1) Baseline",3.331977257613628,6.93534662639958,0.6338949747504165,1.403958359015188
Markov Switching (MSM),3.566528609524999,7.148384771220285,0.8790840934406213,1.3668106376249554
MSNN,4.067863657444054,5.534500146580393,1.5126450774395297,1.6564411218702857
ML Regime (XGB),8.432765280721991,21.406373035411228,3.177358274379245,7.177407405394752
